Filename,Change of Control,Anti-assignment
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,,"No party may assign any of its rights or obligations   hereunder without the prior written consent of the other party, except that Hydron may assign its rights and obligations under this Agreement to its parent, its successor or to an affiliate (as such term is defined under the rules and regulations promulgated under the federal securities laws of the U.S.) upon the reasonable consent of the Dolphins that such affiliate assignee has the financial means and corporate authority to perform such obligations and Hydron may not withhold its consent to an assignment of this Agreement in the event of a merger or reorganization of the Dolphins, a sale of all or substantially all of the Dolphins' assets or a consolidation of the Dolphins with any of its affiliates or related parties. (Page 5)"
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,,"Neither party may assign this Agreement, in whole                   or in part, without the other party's written consent (which                   will not be unreasonably withheld), except that no such                   consent will be required in connection with (i) a merger,                   reorganization or sale of all, or substantially all, of such                   party's assets or (ii) either party's assignment and/or                   delegation of its rights and responsibilities hereunder to a                   wholly-owned subsidiary or joint venture in which such party                   holds a controlling interest. (Page 9)  Any attempt to assign this                   Agreement other than as permitted above will be null and void. (Page 9)"
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,,"Neither party may assign this Agreement,                           in whole or in part, without the other party's                           written consent (which will not be unreasonably                           withheld or delayed), except that no such consent                           will be required in connection with (i) a merger,                           reorganization or sale of all, or substantially all,                           of such party's assets or its <omitted> Internet business assets (ii) either party's                           assignment and/or delegation of its rights and                             responsibilities hereunder to a wholly-owned                           subsidiary or affiliate or joint venture in which the                           assigning party holds an interest. (Pages 11-12)  Any attempt to                           assign this Agreement other than as permitted above                           will be null and void. (Page 12)"
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF,,"The Contractor shall not assign this Agreement or any of its rights, powers, duties or obligations hereunder without the  express prior written consent of the Company, which shall not be unreasonably withheld. (Page 18)  Neither party may assign its rights and obligations under this Agreement without the written consent of  the other party. (Page 22)  In the event that the Company engages a third party to perform any of the obligations of the  Contractor under this Agreement, the Company      19         shall provide written notice to the Contractor of such engagement, the Contractor shall thereafter be relieved of any such obligations for which the  third party was engaged. (Pages 23-24)"
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,,"Neither party to this Agreement shall assign, subcontract, or otherwise conveyor delegate its rights or duties hereunder to any third party without the prior written consent of the other party hereto, such consent not to be unreasonably withheld. (Page 13)"
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,,"This Agreement may not be assigned by either party without the prior written consent of the other party, except that, without such consent, (i) Company may make an assignment of this Agreement as collateral security in favor of its lenders, and (ii) the Company may assign this Agreement to a purchaser of all or substantially all of the assets of the Company’s business related to the Products. (Page 11)"
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,"The BSP may after giving due consideration to all circumstances and not acting unreasonably, terminate this agreement by giving written notice to Datec if there is a change of control or major shareholding of Datec. (Page 33)  If the BSP gives such a notice of termination, then:       (a) if the change of control:       (i) results in a competitor of the BSP controlling Datec or       (ii) is reasonably likely in the BSP’s opinion, to have a detrimental effect on Datec’s ability to provide the Services in accordance with the agreement,   then the BSP will pay Datec according to Section 14 – “Termination” of this agreement and the Termination Table in Schedule C. (Page 34)",Datec must not assign this agreement or any right under this agreement unless Datec       (a) is not in breach of this agreement;       (b) obtains the prior written consent of the BSP       (c) ensures that the assignee agrees to be bound by all of the Datec’s obligations under this agreement; and       (d) acknowledges that it remains bound by this agreement (Page 37)  BSP may:       (a) assign all or part of this agreement to any person as part of a restructure; and       (b) assign or novate all or part of the rights and obligations under this agreement to any of the BSP’s Related Company’s as part of a re- organisation of its business. (Page 37)
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,,"Neither party shall in any way sell, transfer, assign,           sub-contract or otherwise dispose of any of the rights, privileges,           duties and obligations granted or imposed upon it under this           Agreement. However, NICE may, at its discretion, transfer and/or           assign any of its rights, privileges, duties and obligations granted           or imposed upon it under this Agreement to any NICE Affiliate,           provided that NICE remains responsible towards Contractor, jointly and           severally with the Affiliate, for all of its obligations hereunder so           assigned, and provided further that the assignee signs this Agreement. (Page 24)"
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,,"This Agreement shall be binding on the parties and their respective successors and assigns, but neither party may, or shall have the power to, assign this Agreement without the prior written consent of the other, which consent shall not be unreasonably withheld. (Page 2)"
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,"If a Change in Control occurs with respect to Customer, M&I agrees to continue to provide Services under this Agreement; provided that (a) M&I's obligation to provide Services shall be limited to the entities comprising the Customer prior to such Change in Control and (b) M&I's obligation to provide Services shall be limited in any and all circumstances to the number of accounts and items processed in the 3-month period prior to such Change in Control occurring plus 25%. (Page 19)","This Agreement may not be assigned by either party, by operation of law or otherwise, without the prior written consent of the other party, which consent shall not be unreasonably withheld, provided that (a) M&I's consent need not be obtained in connection with the assignment of this Agreement pursuant to a merger in which Customer is a party and as a result of which the surviving corporation becomes an Affiliate of another bank holding company, bank, savings and loan association or other financial institution having a capital and surplus of at least $100,000,000 so long as the provisions of Section 21.11 are complied with and (b) M&I may freely assign this Agreement (i) in connection with a merger, corporate reorganization or sale of all or substantially all of its assets, stock or securities, or (ii) to any entity which is a successor to the assets or the business of the M&I Data Services division of M&I. (Page 19)"
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,"If a Change in Control occurs with respect to Customer, Metavante agrees to continue to provide Services under this Agreement; provided that (a) Metavante’s obligation to provide Services shall be limited to the Entities comprising the Customer prior to such Change in Control and (b) Metavante’s obligation to provide Services shall be limited in any and all circumstances to the number of accounts processed in the three (3) -month period prior to such Change in Control occurring, plus twenty-five percent (25%). (Page 15)","Neither this Agreement nor the rights or obligations hereunder may be assigned by either party, by operation of law or otherwise, without the prior written consent of the other party, which consent shall not be unreasonably withheld, provided that (a) Metavante’s consent need not be obtained in connection with the assignment of this Agreement pursuant to a merger in which Customer is a party and as a result of which the surviving Entity becomes an Affiliate or Subsidiary of another bank holding company, bank, savings and loan association or other financial institution, so long as the provisions of all applicable Schedules are complied with; and (b) Metavante may freely assign this Agreement so long as it is (i) in connection with a merger, corporate reorganization, or sale of all or substantially all of its assets, stock, or securities, or (ii) to any Entity which is a successor to the assets or the business of Metavante. (Page 16)"
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,"During the term of this Agreement, if MSL decides to sell a substantial       portion of its assets or operations outside the ordinary course of its       business, or to merge or transfer ownership of MSL to a third Party, MSL       will immediately notify IBM. (Page 13)","Neither Party may assign, transfer or subcontract any rights or duties       under this Agreement without prior written approval by the other Party.       MSL may assign or subcontract all or any part of this Agreement to any MSL       Related Company with IBM's prior written consent which shall not be       unreasonably withheld or delayed. MSL may not assign or transfer any       rights or duties under this Agreement without prior written approval by       IBM. (Page 13)  Neither party may assign, or otherwise transfer, its rights or delegate       its duties or obligations under this Agreement without prior written       consent. (Page 70)  MSL may not assign this Agreement without IBM's prior written consent. Any       attempted assignment without such consent is void. (Page 74)"
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,,"Except as otherwise provided by this Agreement or in the event that either Party sells or otherwise transfers its Station to another (in which case such Party shall be required to assign to the Buyer, and such Buyer shall be required to assume, this Agreement, in its entirety), neither Party hereto shall assign its rights or obligations under this Agreement to a third party without the express written consent of the other Party, which consent shall not be unreasonably withheld. (Page 9)"
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.PDF",,"Neither party may <omitted> assign or otherwise transfer this Agreement to any person or entity without the   other's written consent, such consent not to be unreasonably withheld or delayed; provided that the withholding of consent of assignment to a competitor of the other party shall be deemed reasonable. (Pages 6-7)  Any assignment in derogation of the foregoing shall be null and void. (Page 7)"
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,,Neither party may assign this Agreement without the prior written consent of the other. (Page 8)
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF,,"No right or interest in this Agreement shall be assigned by                   Schoolpop without prior written permission of AEIS, which                   shall not be unreasonably withheld. (Page 12)  This Agreement (a) may not be assigned by Seller without the written          consent of AEIS, except to an entity controlling, controlled by or          under common control with Seller, provided, however, Schoolpop shall          remain liable for the obligations contained herein including the          attachments and Exhibits thereto, and (b) may be modified only by an          agreement in writing signed on behalf of AEIS by an executive officer. (Page 15)"
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.PDF,,"Neither party will assign this Agreement or any rights hereunder without the prior written consent of the other party, which consent will not be unreasonably withheld. Notwithstanding the foregoing sentence, McDATA may assign this Agreement to any entity controlled by, controlling, or under common control with McDATA or to any successor by merger, divestiture, consolidation or reorganization, or to any purchasers of all or substantially all of the assets of the business of McDATA without consent of Reseller. (Page 4)"
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF",,Reseller may nat assign or otherwise transfer this Agreement without      MediaNet Group Technologies's prior written consent except to a successor. (Page 3)
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,"Consequently either this Agreement or any of the respective rights or obligations of the Parties hereunder may be assigned or otherwise transferred, in whole or in part, in any form whatsoever (including by way of change of Control), by either Party subject to the prior written consent of the other Party, which consent shall not be unreasonably withheld or delayed, and any attempt to do so without such consent shall be null and void. (Page 35)  nothing in this Agreement shall in any way restrict any change in shareholding or control of the Parties or its Affiliates or the Repairer’s rights to delegate obligations of it hereunder to a Subcontractor. provided that, in such case, the Repairer will remain responsible for the provision of the Services in accordance with the terms of this Agreement.   provided such assignment or transfer, change in shareholding or control has no material adverse effect on any of the Company’s rights and obligations under this Agreement. (Page 35)","Consequently either this Agreement or any of the respective rights or obligations of the Parties hereunder may be assigned or otherwise transferred, in whole or in part, in any form whatsoever (including by way of change of Control), by either Party subject to the prior written consent of the other Party, which consent shall not be unreasonably withheld or delayed, and any attempt to do so without such consent shall be null and void. (Page 35)  the Parties may at any time assign or transfer all or part of its rights and obligations under this Agreement to any of its Affiliates provided that such assignment or transfer is previously notified to the other Party. (Page 35)"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf,"A Termination Event shall have occurred if: <omitted> (c) Supplier either: (i) merges with another entity, (ii) suffers a transfer involving fifty (50%) percent or more of any class of its voting securities or (iii) transfers all, or substantially all, of its assets; (Page 9)  Furthermore, Supplier shall notify Bank of America immediately In the event there is a change of control or material adverse change in Supplier’s business or financial condition. (Page 19)","Neither Party may assign this Agreement or any of the rights hereunder or delegate any of its obligations hereunder, without the prior written consent of the other Party, and any such attempted assignment shall be void, except that Bank of America or any permitted Bank of America assignee may assign any of its rights and obligations under this Agreement (including, without limitation, any individual Order) to any Bank of America Affiliate, the surviving corporation with or into which Bank of America or such assignee may merge or consolidate or an entity to which Bank of America or such assignee transfers all, or substantially all, of its business and assets. (Page 29)"
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,,No party may transfer or assign its rights or obligations under this Agreement without the prior written consent of the other parties and any transfer or assignment or purported transfer or assignment in contravention of this Section 18 shall be void and without force or effect. (Page 25)
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,,"Subject to Section 12.2, neither party shall assign its rights or obligations hereunder, in whole or in part, except with the prior written consent of the other party, except to a party acquiring all of the business of the assigning party to which this Agreement relates. (Page 16)"
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.PDF,,Neither party shall assign their respective rights under this Agreement without the prior written consent of the other party. (Page 19)
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,,"This Agreement may not be assigned by either Party, in whole or in part, to any Third Party without the prior written consent of the other Party, except that either Party may assign this Agreement as a whole, and all of its rights and obligations hereunder, without the consent of the other Party, but upon written notice to the other Party (a) to an Affiliate, or (b) in case of a transfer of all, or substantially all, stock or assets of such Party or the relevant business activity through which such Party acts in this Agreement to a Third Party or to any partnership or other venture in which such business activity is to participate. (Page 24)"
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF",,"This Agreement may not be waived, amended or assigned without an agreed written and signed document, signed by both Parties. (Page 2)"
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",,"Except as expressly provided in this Agreement, Bellicum specifically agrees not to, and agrees not to cause any Third Party to, sell, market, export, transfer, or re-export Miltenyi Products without Miltenyi’s express prior written consent. (Page 7)  This Agreement shall not be assignable, pledged or otherwise transferred, nor may any right or obligations hereunder be assigned, pledged or transferred, by either Party to any Third Party without the prior written consent of the other Party, which consent, in the event of a financing transaction by the Party asking for consent, shall not be unreasonably withheld, conditioned or delayed by the other Party; except either Party may assign or otherwise transfer this Agreement without the consent of the other Party to an entity that acquires all or substantially all of the business or assets of the assigning Party relating to the subject matter of this Agreement, whether by merger, acquisition or otherwise; provided that intellectual property rights that are owned or held by the acquiring entity or person to such transaction (if other than one of the Parties to this Agreement) shall not be included in the technology licensed hereunder (Page 41)  Any assignment of this Agreement in contravention of this Article 17 shall be null and void. (Page 42)"
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.PDF,,FCC may not assign or delegate its rights or obligations pursuant to this Agreement. (Page 4)
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.PDF,,"The Parties agree that ECOPETROL may declare the termination in advance of the Contract at any time, without any indemnity in favor of the  SENDER in the following events: <omitted> c) The unauthorized assignment of the Contract by the SENDER. (Page 12)  The SENDER shall not assign totally or partially the Contract hereof, without the previous written consent by ECOPETROL. (Page 14)  The assignment may be authorized by ECOPETROL, when the SENDER sufficiently demonstrates to ECOPETROL that:        a) The assignee is a legal person duly organized and the duration of the same shall not be less that the term of the Contract and three (3)  more years.    b) The assignee has an adequate financial capacity to meet the obligations derived from the Contract assigned.    c) The assignee has Crude of its own/production.    d) The assignee provides and adequate and acceptable Bond payment to ECOPETROL for the fulfillment of the obligations derived from the  Contract. (Page 14)"
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,"In the event of a change in control of a Party, the other Party shall         have the right, upon written prior notice, to terminate this          Agreement. (Page 8)  In the event this Agreement is terminated pursuant to the provisions of         paragraph 19.2, then the Party whose control has changed shall not         enter into an agreement with any other Party to provide services similar         to those provided herein or to provide its services similar to those         provided for herein without an agreement, for a period of twelve (12)         months from the effective date of termination. (Page 11)","Neither Party shall sell, assign, subcontract, transfer or dispose of         this Agreement or any part thereof, without the prior written consent of         the other Party or otherwise enter into an agreement with any other         Party for Services contemplated herein. (Page 9)"
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,,"Neither Party may assign its rights under this Agreement without prior written consent from the other Party, which consent shall not be unreasonably withheld; provided, however, that either Party may assign its rights under this Agreement to a successor in interest resulting from any merger, reorganization, consolidation or as part of a sale of all or substantially all of its assets. (Page 11)  This Agreement shall be binding upon and inure to the benefit of the Parties and their successors and permitted assigns; provided, however, that the rights and obligations of any Party under this Agreement shall not be assignable by such Party without the prior written consent of the <omitted> other Party pursuant to Section 8.1. (Pages 15-16)"
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,,Neither Party shall be entitled to assign any of its rights or duties      hereunder to any third parties without a written consent of the other Party      thereto. (Page 5)
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.PDF,,"Otherwise, Shipper shall not assign this Agreement or any of its rights hereunder, except in accord with Article III, Section 11 of the General Terms and Conditions of Transporter’s FERC Gas Tariff. (Page 6)"
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.PDF,"In the event of a Change in Control involving Green Cross, Green Cross shall provide prompt written notice to MacroGenics following such Change in Control, and MacroGenics may, in its sole discretion, terminate this Agreement by providing written notice to Green Cross within *** of MacroGenics’ receipt of such written notice of the Change in Control. (Page 46)  In the event of a Change in Control involving MacroGenics, MacroGenics shall provide prompt written notice to Green Cross following such Change in Control, and Green Cross may, in its sole discretion, terminate this Agreement by providing written notice to MacroGenics within *** of Green Cross’ receipt of such written notice of the Change in Control. (Page 46)","In no event shall Green Cross grant any sublicense to any of the rights granted to it pursuant to Section 10.1(a) for any other purpose without MacroGenics’ prior written consent. (Page 30)  Neither Party may assign its rights and obligations under this Agreement without the prior written consent of the other Party, provided that either Party may assign its rights and obligations under this Agreement, without such consent from the other Party, to its Affiliate or any successor in interest in connection with the sale of all or substantially all of its assets or a sale of all or substantially of the business related to MGAH22 or a Product, or a merger, acquisition or other similar transactions. (Page 50)"
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.PDF,"During the term hereof, any division, merger, dissolution, liquidation, bankruptcy or other events that lead to changes of Party B in the company nature, qualification and capacity for civil acts shall be notified to Party A in time, and subject to the provisions hereunder about the exit grace period. (Page 23)  In case of division or merger of Party B, this Agreement shall terminate, and the successor company (or other entity) to Party B’s wireless value added business hereunder shall re-apply for business opening to Party A, and timely modify Party B’s enterprise identifier code and other information existing on Party A’s business system or other business management system. (Page 23)","Except otherwise expressly agreed between the parties or agreed by Party A beforehand, Party B shall not transfer any cooperation business to a third party in any form whatsoever. (Page 7)  Any transfer in violation hereof shall be deemed as a breach by Party B, for which Party B shall take relevant breaching liability and Party A may terminate this Agreement, suspend fee settlement and require Party B to undertake any direct or indirect loss thus caused. (Page 7)"
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.PDF,,"The rights and obligations of each Party under this Agreement shall not be transferred, except for the transfer by Party B to its affiliates. (Page 6)"
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF,,"During the term of this Agreement, neither party may assign, or transfer its rights and obligations under this Agreement in whole or in part, without the prior written consent of the other party. (Page 19)"
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF",,"Each Party may only subcontract its activities under this Agreement (including under a Workflow Development Plan) with the other Party’s consent; provided that such consent shall not be necessary if (a) such subcontracting of activities is [***] <omitted> of such subcontracting Party (e.g. [***]) or (b) [***] (e.g. [***]) in order for a Party to [***]. (Pages 19-20)  Except as permitted under Sections 9.2.1 and 9.2.2, BLI may not sublicense, assign or otherwise transfer the rights granted to it in this Section 9.2 (Grants to BLI) without first obtaining the prior written consent of Ginkgo[***]. (Page 48)  Each sublicense of any license granted to BLI under this Section 9.2 (Grants to BLI) will (i) be in writing, (ii) be consistent with the terms and conditions of this Agreement and (iii) require each sublicensee thereunder to comply with all terms of this Agreement applicable to a sublicensee_ provided that, subject to Section 6.2.1, such prior written consent of Ginkgo shall not be needed for any sublicense granted by BLI (a) under Section 9.2.1, to a Permitted Subcontractor of BLI under Section 2.7 (Subcontracting) to the extent such sublicense relates to the subcontracted activities, (b) any wholly-owned subsidiary of BLI existing as of the Effective Date, or (c) any other Person, including other Affiliates and any Third Party, under Section 9.2.2. (Page 48)  Neither Party may assign or otherwise transfer this Agreement or any rights hereunder, without the prior written consent of the other Party; provided that either Party may assign or otherwise transfer this Agreement or any rights hereunder (a) to a wholly-owned subsidiary of such Party or (b) in connection with the transfer or sale of all or substantially all of the business or assets of such Party related to the subject matter of this Agreement, whether by merger, consolidation, divestiture, restructure, sale of stock sale of assets or otherwise its successor, whether in a merger, sale of stock or sale of assets or any other transaction, in each case (a)-(b), without first obtaining the prior written consent of the other Party, so long as the non-assigning Party is notified in writing of such assignment within [***] ([***]) days following such assignment; provided further that, in no event may BLI assign this Agreement, in whole or in part, to any Person [***] without first obtaining Ginkgo’s prior written consent. (Page 63)  Any purported assignment of this Agreement by a Party in contradiction to this Section 14.4 (Assignment) will be void and of no effect. (Page 63)"
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.PDF",MBRK may terminate this Agreement upon 60 days notice for a Change of Control subject to the Fees outlined in  paragraph (f) of this Section 18. (Page 14),"This Agreement shall bind the Parties hereto and their successors and assigns, provided that neither party shall have  the right to assign this Agreement or any part thereof to a third party without the prior written consent of the other party,  however such consent will not be unreasonably withheld. (Page 16)"
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..PDF","In the event of the merger or consolidation of the Company with any other entity, Nantz Communications shall have the right to terminate the Agreement by so notifying the Company in writing on or before sixty (60) days <omitted> after Nantz Communications has received notice of such merger or consolidation if and only if, by virtue of such merger or consolidation Nantz Communications or Nantz would be in default under or violating any provisions of any agreement to which he or it is subject entered into prior to June 1, 1994. (Page 5)","Accordingly, except as otherwise expressly provided below, neither Nantz Communications nor Nantz shall assign any of their respective rights or delegate any of their respective duties or obligations under this Agreement without the written consent of the Company. (Page 4)  The rights granted the Company hereunder shall be used only by it and shall not, without the prior written consent of Nantz Communications or Nantz, be transferred or assigned to   any other. (Pages 4-5)"
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.PDF,,This Agreement may not be assigned by either party hereto without the written consent of the other but shall be  binding upon the successors of the parties. (Page 4)
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.PDF","[ * ] may terminate this Agreement immediately upon written notice if there is a Change of Control of [ * ]. In this  Clause the term “Control” shall mean the possession by any person(s) directly or indirectly of the power to direct or cause the direction  of another person and “Change of Control” is to be construed accordingly. (Page 7)  [ * ] expected to experience, or [ * ] is experiencing, such  Change of Control shall notify [ * ] in writing of this before or within [ * ] after the Change of Control. (Page 7)  For the avoidance of doubt, if following [ * ] there is a transfer of shareholding or interests in Distributor to any existing or new  shareholder(s) which results in any person or persons subsequently gaining Control of Distributor, then Google may exercise its right to  terminate in accordance with this clause 5.4. (Page 8)  For the  avoidance of doubt, a Change of Control shall be deemed an assignment hereunder unless [ * ] does not exercise its [ * ]. (Page 13)",[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ]. (Page 13)
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,,"No Joint      Venturer shall be authorized or empowered to mortgage, hypothecate, pledge,      sell, or transfer, an interest in the Joint Venture, nor confer on any      successor or assignee the right to become a Joint Venturer without the      consent of the other Joint Venturer. (Page 2)"
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.PDF,,Neither Party shall assign any rights or obligations provided herein without the prior written consent of the other Party. (Page 4)
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF",,This Agreement shall not be assignable by either party without the prior written consent of the other party. (Page 4)
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF,,"This Agreement is solely for the benefit of the parties hereto and is not binding upon or enforceable by any other persons (Page 7)  No party to this Agreement may assign its rights or delegate its obligations under this Agreement, whether by operation of law or otherwise, and any assignment in contravention hereof shall be null and void. (Page 7)"
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).PDF,,"This Agreement shall not be assignable by either Party, except with the written   consent of the other Party hereto; provided, however, that either Party may assign this Agreement without the other Party’s consent to an acquiring party in connection with the transfer or sale of all or substantially all of the business of such Party to which this Agreement relates to such acquiring party, whether by merger, sale of stock, sale of assets or otherwise, provided that in the event of such a sale or transfer (whether this Agreement is actually assigned or is assumed by the acquiring party by operation of law (e.g,. in the context of a reverse triangular merger)). (Pages 37-38)"
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.PDF,"In the event that, after the Effective Date, a Third Party (an “Acquirer”) either (a) merges with Company, (b) acquires “control” (as defined in Section 1.4) of Company or (c) acquires substantially all the assets of the Company (each of (a), (b) and (c), an “Acquisition”), and such Acquirer or any of its Affiliates immediately prior to such Acquisition is commercializing a Competing Product in the Territory, then either Party shall have the right to terminate this Agreement on [***] ([***]) days written notice delivered within [***] ([***]) days of the closing of such Acquisition, and Company shall not be deemed to be marketing, promoting, selling, distributing or commercializing a Competing Product in breach of this Section for so long as it is conducting such activities solely through personnel who are not involved in any activities under this Agreement and do not have access to Janssen’s Confidential Information hereunder. (Page 34)","Company may not subcontract with or otherwise use any Affiliate or Third Party to perform any Detailing or any of its other obligations under this Agreement without the prior written consent of Janssen. (Page 18)  Company shall not use an Affiliate to exercise any of its rights or perform any of its obligations or duties hereunder without Janssen’s prior written consent. (Page 46)  Neither this Agreement nor any rights or obligations of a Party may be assigned, delegated or otherwise transferred by such Party without the prior written consent of the other Party; provided, however, that Janssen may, without such consent but with prior written notice to Company, assign, delegate and transfer this Agreement or all or any of its rights and obligations under this Agreement to (a) any Third Party that acquires substantially all Janssen’s assets relating to the Product in the   Territory or (b) any Affiliate of Janssen. (Pages 47-48)  Neither this Agreement nor any rights or obligations of a Party may be assigned, delegated or otherwise transferred by such Party without the prior written consent of the other Party; provided, however, that Janssen may, without such consent but with prior written notice to Company, assign, delegate and transfer this Agreement or all or any of its rights and obligations under this Agreement to (a) any Third Party that acquires substantially all Janssen’s assets relating to the Product in the Territory or (b) any Affiliate of Janssen. (Pages 47-48)"
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.PDF,,"Except as permitted pursuant to Article 13.1 hereof, neither Party shall assign or transfer this Agreement, or any and all related rights and obligations in the Joint Venture or all rights and all obligations in any related agreements, without the prior written consent of the other Party, which consent may not be unreasonably withheld or delayed; provided, however, any Party may assign any or all of its interests in this Agreement or the Operating Company to a wholly-owned subsidiary (which shall at all times remain a wholly-owned subsidiary, and such subsidiary may be a partnership, limited liability company, or corporation) or commonly-owned affiliate of Igene or T&L, as the case may be, provided that the ultimate parent company (e.g. Igene or T&L, as the case may be) shall guarantee such subsidiary's or affiliate's performance hereunder. (Page 13)"
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.PDF",,Title to all Joint Venture Property will remain in the name of the Joint Venture. (Page 10)
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,,"This Agreement may not be assigned by either party, except           (a) to the transferee of substantially all of the business operations           of such party (whether by asset sale, stock sale, merger or otherwise)           or (b) to any entity that controls, is controlled by or is under           common control with such party. (Page 4)"
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,,"Except pursuant to Section 16.9 or in connection with the use of Third Party Sales Representatives, King shall not assign, subcontract or otherwise transfer or delegate any of its rights or obligations under this Agreement without the express written consent of Depomed, which consent may be withheld by Depomed in its sole discretion. (Page 11)  This Agreement and the rights granted herein shall not be assignable by either party hereto without the prior written consent of the other party. (Page 47)  Any attempted assignment without consent shall be void. (Page 47)"
